seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
49781,QQQ,1603323631155,283.49,200,127102,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49782,QQQ,1603323631155,283.49,200,127103,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49783,QQQ,1603323631155,283.49,200,127104,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49784,QQQ,1603323631156,283.49,200,127105,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49785,QQQ,1603323631156,283.5,800,127106,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49786,QQQ,1603323631156,283.5,1000,127107,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49787,QQQ,1603323631156,283.5,200,127108,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49788,QQQ,1603323631156,283.5,1000,127109,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49789,QQQ,1603323631156,283.5,200,127110,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49790,QQQ,1603323631157,283.51,200,127111,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49791,QQQ,1603323631157,283.51,100,127112,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49792,QQQ,1603323631158,283.51,100,127113,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49793,QQQ,1603323631158,283.51,200,127114,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49794,QQQ,1603323631158,283.51,200,127115,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49795,QQQ,1603323631159,283.52,200,127116,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
